Product Name,Price
"MSI Modern 15 H C13M Core i5 13th Gen 15.6"" FHD Laptop",76900
"HP 15-fd0291TU Core i5 13th Gen 15.6"" FHD Laptop With Backlit Keyboard",77000
"HP 14-ep0203TU Core i5 13th Gen 14"" FHD Laptop With Backlit keyboard",77000
"Lenovo IdeaPad Slim 3i 15IAU7 Core i5 12th Gen 15.6"" FHD Laptop with Windows 11",77000
"MSI Modern 14 C13M Core i5 13th Gen 14"" FHD Laptop",77200
"MSI Modern 14 C13M Core i5 13th Gen 14"" FHD Laptop Beige Rose",77200
"MSI Modern 15 B7M Ryzen 7 7730U 15.6"" FHD Laptop",77500
"HP 15-fd0204TU Core i5 13th Gen 8GB DDR4 RAM 512GB SSD 15.6"" FHD Laptop",78000
"HP 15-fd1113TU Intel Core 5 120U 15.6"" FHD Laptop",78500
"HP 15-fd1112TU Intel Core 5 120U 15.6"" FHD Laptop",78500
"ASUS Vivobook 15 X1504VA-NJ261W Core i5 13th Gen 15.6"" FHD Laptop",79000
"Lenovo IdeaPad Slim 3 14ABR8 Ryzen 7 7730U Abyss Blue 14"" FHD Laptop with 1080p FHD Webcam",79000
"Lenovo IdeaPad Slim 3 Ryzen 7 7730U 14"" FHD Laptop Fingerprint 16GB DDR4 RAM 512GB SSD with 2 Years Warranty",79000
"Lenovo IdeaPad Slim 3 14IRH8 Core i5 13th Gen 14"" FHD Laptop Abyss Blue",79500
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 16GB RAM 15.6"" FHD Laptop Abyss Blue",79500
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 16GB RAM 15.6"" FHD Laptop",79500
"Asus VivoBook Go 15 OLED E1504FA Ryzen 5 7520U 16GB RAM 15.6"" FHD OLED Laptop",79500
"Lenovo IdeaPad Slim 3 14IRH8 Core i5 13th Gen 14"" FHD Military Grade Laptop",79500
"Lenovo IdeaPad Slim 3 14IRH8 Core i5 13th Gen 14"" FHD Military Grade Laptop Arctic Grey",79500
ASUS Vivobook 15 X1504VA Core i5 13th Gen 8GB RAM 512GB SSD 15.6 Inch FHD Laptop,79500
"Asus VivoBook Go 15 OLED E1504FA Ryzen 5 7520U 16GB RAM 15.6"" OLED Laptop",79500
"Lenovo IdeaPad Slim 3 15ABR8 Ryzen 7 7730U Abyss Blue 15.6"" FHD Laptop",79900
"Lenovo IdeaPad Slim 3 14IRH8 Core i5 13th Gen 13420H 14"" FHD Laptop",80000
"Lenovo IdeaPad Slim 3 15IRH8 Core i5 13th Gen 13420H 15.6"" FHD Laptop",80000
"MSI Modern 15 B7M Ryzen 7 7730U 16GB RAM 15.6"" FHD Laptop",80000
"Lenovo IdeaPad Slim 3 15ABR8 Ryzen 7 7730U 15.6"" FHD Laptop with 1080p FHD Webcam",80000
"MSI Modern 14 C7M Ryzen 7 7730U 14"" Laptop",80000
"HP 15-fd0210TU Core i5 13th Gen 15.6"" FHD Laptop With Backlit Keyboard",81000
"HP 15-fd0208TU Core i5 13th Gen 15.6"" FHD Laptop With Backlit Keyboard",82500
"MSI Modern 15 F1MG Core 5 120U AI Optimized 15.6"" FHD Laptop Urban Silver",82900
"MSI Modern 15 F1MG Core 5 120U AI Optimized 15.6"" FHD Laptop Platinum Gray",82900
"ASUS ExpertBook L2 Flip Ryzen 5 5625U 14"" Touch Laptop",85000
"Dell Latitude 3540 Core i5 12th Gen 15.6"" FHD Laptop",86500
"Dell Latitude 3440 Core i5 12th Gen 14"" FHD Laptop",86500
"Lenovo IdeaPad Slim 3i 14IRH8 Core i7 13th Gen 14"" FHD  Laptop",87000
Acer Aspire 7 A715-76G-59U9 Core i5 12th Gen GTX 1650 4GB 15.6 Inch 144Hz FHD Gaming Laptop,87500
"HP 15-fd0037TX Core i5 13th Gen MX570 A 2GB Graphics 15.6"" FHD Laptop",87500
"MSI Modern 15 F13MG Core i7 13th Gen 15.6"" FHD Laptop Urban Silver",87900
"Asus Vivobook 16 A1605VA Core i5 13th Gen 13500H 16"" IPS WUXGA Laptop",88000
"MSI Thin 15 B13UC Core i5 13th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",90000
